Gaps_in_education,Gaps_in_experience,Percentage_of_marks,Experience,Age,Age_of_kids,Salary,Salary_as_compared_to_experience,Salary_as_compared_with_the_industry_standards,Classification_of_companies,Since_howlong_is_he.inthe_current_company,Since_howlong_is_he.inthe_current_location,is_home_town_as_work_location,Canditate_is_finikey_about_contract_job,Would_join_as_a_contractor_or_not.Target.,ED_code,year_code,Mas_code,exp_code,org_code
0,0,78,2.1,26,7,3.25,1,1,3,1.11,1.11,0,0,0,4,20,1,1,2
0,0,78,4,29,7,8.5,1,1,1,1.2,1.2,1,0,0,7,20,1,1,2
0,0,65,2.9,33,2,6.75,1,1,2,2.11,2.11,0,0,0,10,20,0,1,2
0,0,80,2,26,2,4.25,1,0,1,2,2,0,0,0,1,21,1,1,2
0,0,65,2,26,2,4,1,1,2,2,3,1,1,1,10,18,1,1,2
0,0,65,4.3,30,2,8,1,0,2,1.1,1.1,0,1,1,4,18,0,1,2
0,0,65,4.4,28,4,9.7,1,1,2,2.6,2.6,1,1,1,1,18,0,1,2
0,1,65,2,26,4,3,1,0,2,2,2,1,1,1,1,17,1,1,2
0,0,65,3.5,28,4,7,1,1,2,0.1,0.1,1,1,1,1,17,1,1,2
0,1,78,4.6,32,4,9.5,1,1,3,3.1,3.1,1,0,0,10,13,0,1,0
0,1,78,4,33,4,8,1,1,4,0.11,0.11,1,0,0,4,12,0,1,1
0,1,78,12,39,4,10,1,1,2,0.4,0.4,1,0,0,10,8,0,1,2
0,0,78,3.3,26,4,7,1,0,1,3.3,3.3,1,0,0,1,20,1,1,2
0,0,78,3.5,30,4,8,1,1,2,3.5,3.5,1,0,0,4,18,0,1,2
1,0,78,18,42,9,39,1,1,2,0.8,14,0,1,1,12,5,0,1,2
0,0,78,24,54,26,55,1,1,2,8,8,0,1,1,6,1,0,1,2
0,0,78,10,34,4,23,1,1,2,2.6,2.6,0,1,1,1,11,0,1,2
0,0,78,15,41,16,30,1,1,2,2,2,0,1,1,12,5,0,1,2
0,0,78,10,34,6,21,1,1,2,2,2,0,1,1,9,11,0,1,2
0,0,78,3.11,26,6,8,1,1,1,3.11,3.11,0,0,0,1,18,1,1,2
0,0,78,4.11,27,6,8,0,0,1,0.8,0.8,0,0,0,1,17,1,1,2
0,1,74,4.3,28,6,8,1,1,2,1.6,1.6,0,0,0,1,18,1,1,0
0,0,60,4,26,6,8,1,1,3,2.2,2.2,0,0,0,1,20,1,1,2
0,0,60,4.8,27,6,9,1,1,1,4.2,4.2,0,0,0,1,18,1,1,2
0,0,60,6.5,33,3,14,1,1,2,8,8,1,1,1,0,11,0,1,2
0,1,60,10,34,5,22,1,1,2,2.6,2.6,0,1,1,7,21,0,1,2
0,0,60,3,26,5,7,1,0,2,3.2,3.2,0,1,1,1,18,1,1,2
0,0,76,4,29,5,10,1,1,2,1,1,1,1,1,4,16,1,1,2
1,0,76,7,34,6,20,1,1,2,2.1,2.1,0,1,1,1,20,0,1,2
0,0,76,3.2,26,6,6.5,1,1,3,1.2,1.2,1,0,0,1,20,1,1,0
0,1,76,2.1,26,6,5,1,1,1,2.5,2.5,0,0,0,1,21,1,1,2
0,0,76,3.4,27,6,6.75,1,1,3,3.4,3.4,0,0,0,7,21,1,1,2
0,0,76,3.6,26,6,7,1,1,2,0.6,0.6,0,0,0,1,20,1,1,2
0,0,78,2.7,24,6,5,1,1,2,2.7,2.7,0,0,0,1,21,1,1,2
0,0,78,2,24,6,4,1,1,2,0.5,0.5,0,1,1,4,20,1,1,2
1,0,78,10,36,8,24,1,1,2,2,10.8,1,1,1,1,10,0,1,2
0,0,78,6.7,32,3,14,1,0,3,2.6,2.6,1,1,1,12,14,0,1,2
0,0,78,13,39,11,27,1,1,2,1.4,1.4,0,1,1,10,8,0,1,2
0,0,76,7,33,5,17,1,1,2,0.8,0.8,0,1,1,1,15,0,1,2
0,0,70.08,3.4,26,5,7.5,1,1,3,1.5,1.5,1,0,0,4,20,0,1,0
0,0,70,3.6,26,5,7,1,1,3,3.6,3.6,1,0,0,3,20,0,1,2
0,0,75,4.6,26,5,9,1,1,3,2.2,2.2,1,0,0,3,20,0,1,0
0,0,75,2.11,26,5,4.5,1,1,3,2.11,2.11,1,0,0,4,20,1,1,2
0,0,75,3.3,29,5,7,1,0,1,2.1,2.1,1,0,0,12,20,1,1,2
0,0,75,8,31,2,17,1,1,2,4,4,1,1,1,12,17,0,1,2
0,0,75,5.7,29,2,15.5,0,0,2,5.2,5.2,1,1,1,1,17,1,1,2
0,0,75,6,30,2,13.5,1,1,3,1.3,1.3,1,1,1,10,16,0,1,2
0,0,81,4,29,2,7.4,0,0,2,2.9,2.9,0,1,1,1,17,1,1,2
