Educational_course,year,Gaps_in_education,Gaps_in_experience,Percentage_of_marks,Experience,Age,Marital_status,Age_of_kids,Salary,Salary_as_compared_to_experience,Salary_as_compared_with_the_industry_standards,Classification_of_companies,Type_of_experience,Resume_organization,Since_howlong_is_he.inthe_current_company,Since_howlong_is_he.inthe_current_location,is_home_town_as_work_location,Canditate_is_finikey_about_contract_job,Would_join_as_a_contractor_or_not.Target.
BE,2015,no,no,NaN,2.11,25,S,NaN,4.5,yes,yes,2,Service based,average,2.11,2.11,yes,no,no
B.Tech,2015,no,no,71.2,3.5,28,S,NaN,7,yes,yes,1,Service based,good,3.5,3.5,yes,no,no
MCA,2016,no,no,NaN,3,25,S,NaN,6.5,yes,yes,1,Service based,good,2.9,2.9,yes,no,no
B.Tech,2014,no,no,NaN,4,29,S,NaN,10,yes,no,1,Service based,good,2.1,2.1,no,no,no
MCA,2015,no,no,NaN,3,30,M,NaN,6,yes,yes,3,Service based,good,1.5,1.5,no,no,no
B.Tech,NaN,NaN,yes,NaN,1.9,28,S,NaN,6,yes,yes,2,Service based,good,1.8,1.8,yes,yes,yes
CA,2005,no,no,76,13,35,M,9,30,yes,yes,2,Service based,good,12,12,yes,yes,yes
B.Tech,2014,NaN,no,NaN,3.7,27,S,NaN,8,yes,no,2,Service based,good,3.7,3.7,yes,yes,yes
BE,2015,no,no,NaN,6,25,S,NaN,6,yes,no,2,Service based,good,3,3,yes,yes,yes
B.Tech,2016,NaN,no,NaN,3,24,S,NaN,7,yes,no,2,Service based,good,3,3,no,yes,yes
M.Tech,2015,no,yes,NaN,3.6,29,S,NaN,7,yes,no,1,Service based,average,0.7,0.7,no,no,no
B.Tech,2005,no,no,NaN,11,36,M,NaN,22,yes,yes,1,Service based,good,1.7,1.7,no,no,no
Bsc,2015,no,no,NaN,3.2,26,S,NaN,7,yes,yes,1,Service based,average,3.2,3.2,yes,no,no
MBA,2018,yes,yes,NaN,11,30,M,NaN,25,yes,yes,1,Service based,good,0.11,0.11,no,no,no
MCA,2016,no,no,78,3,27,M,NaN,7,yes,yes,2,Service based,good,1.2,1.2,no,no,no
B.Tech,NaN,no,no,NaN,2,29,S,NaN,3,no,no,2,Service based,good,2,2,no,yes,yes
B.Tech,2013,no,no,64,5,27,S,NaN,13,yes,yes,2,Service based,good,1.2,1.2,no,yes,yes
BE,2014,no,no,70,3.8,26,S,NaN,7,yes,yes,2,Service based,good,1,3.8,no,yes,yes
B.Tech,2016,no,no,NaN,2.9,24,S,NaN,8,yes,yes,1,Service based,good,2.9,2.9,no,yes,yes
B.Tech,NaN,NaN,no,NaN,4.5,27,S,NaN,9,yes,no,2,Service based,good,2.2,2.2,no,yes,yes
B.Tech,2016,no,yes,NaN,2.1,26,S,NaN,4,yes,yes,2,Service based,good,0.8,0.8,no,no,no
MCA,2016,no,yes,NaN,2,26,S,NaN,4,yes,yes,3,Service based,good,2,2,no,no,no
B.Tech,2016,no,no,63,2.3,25,S,NaN,4.75,yes,yes,2,Product based,good,2.3,2.3,yes,no,no
B.Tech,2007,no,yes,76,11,35,M,2,18,yes,no,1,Service based,good,3.3,3.3,yes,no,no
Bsc,NaN,no,no,NaN,11,NaN,NaN,NaN,19.5,yes,no,1,Service based,good,4.6,4.6,yes,no,no
B.Tech,2014,NaN,no,73,3,27,S,NaN,5,no,no,2,Service based,good,3,3,no,yes,yes
B.Com,2014,yes,no,52,4.1,29,M,NaN,3,yes,no,2,Service based,good,2.4,2.4,no,yes,yes
BE,2012,no,no,NaN,7,30,M,2,17,yes,yes,2,Service based,good,2,2,no,yes,yes
B.Tech,2017,no,no,NaN,4.3,29,M,4,9,yes,no,2,Service based,good,1,1,yes,yes,yes
B.Tech,2013,no,no,75,3,29,M,5,7,yes,no,2,Service based,good,0.1,0.1,no,yes,yes
M.Tech,2011,yes,no,68.2,6.8,32,M,NaN,13.5,yes,no,1,Service based,good,4,4,yes,no,no
B.Tech,2015,no,no,85.5,3.9,26,S,NaN,9,yes,no,1,Service based,good,1.6,1.6,no,no,no
BE,2014,no,yes,64.9,4,29,S,NaN,8,yes,yes,3,Service based,average,1.3,1.3,yes,no,no
BE,2014,yes,yes,NaN,2.11,26,S,NaN,5,yes,yes,2,Service based,good,0.1,0.1,yes,no,no
MCA,2015,no,no,NaN,2.9,25,S,NaN,5.5,yes,yes,3,Service based,good,1.7,1.7,yes,no,no
BE,2015,no,no,78,2,25,S,NaN,4,yes,yes,2,Service based,good,2,2,yes,yes,yes
B.Tech,NaN,no,no,NaN,6,29,M,1,11,yes,no,2,Product based,good,2.1,2.1,no,yes,yes
B.Tech,2012,NaN,no,NaN,4.5,30,S,NaN,9.7,yes,no,2,Service based,good,4.5,4.5,yes,yes,yes
